DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Species
COLOR	#000000

LEGEND_TITLE	Species
LEGEND_SHAPES	1	1	1
LEGEND_COLORS	#2166AC	#D6604D	#4DAC26
LEGEND_LABELS	Arabidopsis thaliana	Oryza sativa	Solanum lycopersicum

DATA
AT_AT3G56400.1|PACid_19664734	#2166AC	Arabidopsis thaliana
AT_AT3G04670.1|PACid_19659974	#2166AC	Arabidopsis thaliana
AT_AT2G04880.1|PACid_19642396	#2166AC	Arabidopsis thaliana
AT_AT2G46130.1|PACid_19639763	#2166AC	Arabidopsis thaliana
AT_AT1G55600.1|PACid_19653520	#2166AC	Arabidopsis thaliana
OS_LOC_Os01g47560.1|PACid_24114059	#D6604D	Oryza sativa
OS_LOC_Os03g21710.1|PACid_24127298	#D6604D	Oryza sativa
AT_AT1G80590.1|PACid_19655764	#2166AC	Arabidopsis thaliana
AT_AT2G34830.1|PACid_19639979	#2166AC	Arabidopsis thaliana
SL_tr|A0A3Q7EHD6|A0A3Q7EHD6_SOLLC	#4DAC26	Solanum lycopersicum
AT_AT4G11070.1|PACid_19646382	#2166AC	Arabidopsis thaliana
OS_LOC_Os09g25060.1|PACid_24135826	#D6604D	Oryza sativa
AT_AT2G37260.1|PACid_19638141	#2166AC	Arabidopsis thaliana
AT_AT5G49520.1|PACid_19665664	#2166AC	Arabidopsis thaliana
OS_LOC_Os07g39480.1|PACid_24110549	#D6604D	Oryza sativa
SL_tr|A0A3Q7HPW5|A0A3Q7HPW5_SOLLC	#4DAC26	Solanum lycopersicum
SL_tr|A0A3Q7FDQ3|A0A3Q7FDQ3_SOLLC	#4DAC26	Solanum lycopersicum
AT_AT1G30650.1|PACid_19655852	#2166AC	Arabidopsis thaliana
SL_tr|A0A3Q7HJN8|A0A3Q7HJN8_SOLLC	#4DAC26	Solanum lycopersicum
AT_AT4G39410.1|PACid_19648649	#2166AC	Arabidopsis thaliana
AT_AT4G31550.1|PACid_19647358	#2166AC	Arabidopsis thaliana
AT_AT4G04450.1|PACid_19647041	#2166AC	Arabidopsis thaliana
SL_tr|A0A3Q7HL08|A0A3Q7HL08_SOLLC	#4DAC26	Solanum lycopersicum
AT_AT4G26640.2|PACid_19646464	#2166AC	Arabidopsis thaliana
AT_AT5G46350.1|PACid_19667690	#2166AC	Arabidopsis thaliana
AT_AT2G25000.1|PACid_19639530	#2166AC	Arabidopsis thaliana
OS_LOC_Os03g49640.1|PACid_24122085	#D6604D	Oryza sativa
OS_LOC_Os05g25770.1|PACid_24150103	#D6604D	Oryza sativa
AT_AT1G64000.1|PACid_19652244	#2166AC	Arabidopsis thaliana
AT_AT1G69810.1|PACid_19649130	#2166AC	Arabidopsis thaliana
AT_AT2G21900.1|PACid_19643565	#2166AC	Arabidopsis thaliana
SL_tr|A0A3Q7FC81|A0A3Q7FC81_SOLLC	#4DAC26	Solanum lycopersicum
AT_AT4G23550.1|PACid_19648615	#2166AC	Arabidopsis thaliana
AT_AT5G52830.1|PACid_19667107	#2166AC	Arabidopsis thaliana
SL_tr|A0A3Q7GHS3|A0A3Q7GHS3_SOLLC	#4DAC26	Solanum lycopersicum
SL_tr|A0A3Q7HZG6|A0A3Q7HZG6_SOLLC	#4DAC26	Solanum lycopersicum
OS_LOC_Os02g53100.1|PACid_24134469	#D6604D	Oryza sativa
AT_AT5G24110.1|PACid_19673033	#2166AC	Arabidopsis thaliana
SL_tr|K4D3M4|K4D3M4_SOLLC	#4DAC26	Solanum lycopersicum
AT_AT3G01080.1|PACid_19659310	#2166AC	Arabidopsis thaliana
AT_AT4G22070.1|PACid_19646691	#2166AC	Arabidopsis thaliana
AT_AT2G38470.1|PACid_19640205	#2166AC	Arabidopsis thaliana
OS_LOC_Os05g49210.1|PACid_24150977	#D6604D	Oryza sativa
OS_LOC_Os06g06360.1|PACid_24139321	#D6604D	Oryza sativa
AT_AT4G31800.1|PACid_19644902	#2166AC	Arabidopsis thaliana
AT_AT5G28650.1|PACid_19671738	#2166AC	Arabidopsis thaliana
OS_LOC_Os03g53050.1|PACid_24122325	#D6604D	Oryza sativa
AT_AT5G56270.1|PACid_19665783	#2166AC	Arabidopsis thaliana
OS_LOC_Os01g53260.1|PACid_24120034	#D6604D	Oryza sativa
SL_tr|Q9ARC7|Q9ARC7_SOLLC	#4DAC26	Solanum lycopersicum
OS_LOC_Os02g16540.1|PACid_24133330	#D6604D	Oryza sativa
AT_AT1G13960.1|PACid_19652502	#2166AC	Arabidopsis thaliana
OS_LOC_Os01g53040.1|PACid_24116390	#D6604D	Oryza sativa
OS_LOC_Os11g29870.1|PACid_24159287	#D6604D	Oryza sativa
