LOC_Os01g08710.1|PACid:24120668
LOC_Os01g14440.1|PACid:24118460
LOC_Os01g18584.1|PACid:24114432
LOC_Os01g43650.1|PACid:24113784
LOC_Os01g46800.1|PACid:24118091
LOC_Os01g47560.1|PACid:24114059
LOC_Os01g53040.1|PACid:24116390
LOC_Os01g53260.1|PACid:24120034
LOC_Os01g54600.1|PACid:24118401
LOC_Os01g61080.1|PACid:24121503
LOC_Os01g74140.1|PACid:24117010
LOC_Os02g08440.1|PACid:24129555
LOC_Os02g16540.1|PACid:24133330
LOC_Os02g53100.1|PACid:24134469
LOC_Os03g21710.1|PACid:24127298
LOC_Os03g49640.1|PACid:24122085
LOC_Os03g53050.1|PACid:24122325
LOC_Os03g55080.1|PACid:24125535
LOC_Os04g21950.1|PACid:24106977
LOC_Os04g46060.1|PACid:24103214
LOC_Os04g50920.1|PACid:24103135
LOC_Os05g09020.1|PACid:24150747
LOC_Os05g25770.1|PACid:24150103
LOC_Os05g27730.1|PACid:24151842
LOC_Os05g40060.1|PACid:24153219
LOC_Os05g46020.1|PACid:24152641
LOC_Os05g49210.1|PACid:24150977
LOC_Os06g05380.1|PACid:24144138
LOC_Os06g06360.1|PACid:24139321
LOC_Os06g44010.1|PACid:24141799
LOC_Os07g02060.1|PACid:24112729
LOC_Os07g39480.1|PACid:24110549
LOC_Os08g17400.1|PACid:24101198
LOC_Os08g38990.3|PACid:24098687
LOC_Os09g16510.1|PACid:24137546
LOC_Os09g25060.1|PACid:24135826
LOC_Os11g29870.1|PACid:24159287
LOC_Os12g32250.1|PACid:24148907
LOC_Os12g40570.1|PACid:24148383
