AT2G37260.1|PACid:19638141
AT2G40750.1|PACid:19638309
AT2G44745.1|PACid:19638720
AT2G03340.1|PACid:19638813
AT2G47260.1|PACid:19638986
AT2G25000.1|PACid:19639530
AT2G46130.1|PACid:19639763
AT2G34830.1|PACid:19639979
AT2G38470.1|PACid:19640205
AT2G30590.1|PACid:19640610
AT2G24570.1|PACid:19640773
AT2G46400.1|PACid:19641583
AT2G30250.1|PACid:19641915
AT2G40740.1|PACid:19642333
AT2G04880.1|PACid:19642396
AT2G23320.1|PACid:19643488
AT2G21900.1|PACid:19643565
AT4G12020.2|PACid:19644332
AT4G31800.1|PACid:19644902
AT4G01250.1|PACid:19645584
AT4G11070.1|PACid:19646382
AT4G26640.2|PACid:19646464
AT4G22070.1|PACid:19646691
AT4G04450.1|PACid:19647041
AT4G24240.1|PACid:19647169
AT4G31550.1|PACid:19647358
AT4G30935.1|PACid:19647487
AT4G18170.1|PACid:19647683
AT4G26440.1|PACid:19647770
AT4G23810.1|PACid:19648384
AT4G01720.1|PACid:19648609
AT4G23550.1|PACid:19648615
AT4G39410.1|PACid:19648649
AT1G69810.1|PACid:19649130
AT1G80840.1|PACid:19649422
AT1G29860.1|PACid:19650009
AT1G18860.1|PACid:19650959
AT1G66600.1|PACid:19652039
AT1G64000.1|PACid:19652244
AT1G13960.1|PACid:19652502
AT1G29280.1|PACid:19653020
AT1G55600.1|PACid:19653520
AT1G69310.1|PACid:19653724
AT1G62300.1|PACid:19654804
AT1G80590.1|PACid:19655764
AT1G30650.1|PACid:19655852
AT1G66560.1|PACid:19656825
AT1G68150.1|PACid:19658098
AT1G66550.1|PACid:19658266
AT3G01970.1|PACid:19658911
AT3G58710.1|PACid:19659214
AT3G01080.1|PACid:19659310
AT3G04670.1|PACid:19659974
AT3G62340.1|PACid:19663331
AT3G56400.1|PACid:19664734
AT5G49520.1|PACid:19665664
AT5G56270.1|PACid:19665783
AT5G41570.1|PACid:19666559
AT5G01900.1|PACid:19667034
AT5G52830.1|PACid:19667107
AT5G26170.1|PACid:19667187
AT5G46350.1|PACid:19667690
AT5G13080.1|PACid:19668284
AT5G22570.1|PACid:19668690
AT5G15130.1|PACid:19669511
AT5G64810.1|PACid:19670059
AT5G07100.1|PACid:19670115
AT5G45050.1|PACid:19670641
AT5G43290.1|PACid:19671697
AT5G28650.1|PACid:19671738
AT5G24110.1|PACid:19673033
